generated_qwen3_4b_pdapt_slerp
"{""question1"": ""Quelle est la principale différence entre la sanction et l'indemnisation dans le cadre de la responsabilité des professionnels de santé?"", ""option_a1"": ""La sanction est réservée aux professionnels de santé, tandis que l'indemnisation peut être obtenue par les établissements de santé."", ""option_b1"": ""La sanction est une mesure pénale, tandis que l'indemnisation est une mesure civile."", ""option_c1"": ""La sanction est réservée aux professionnels de santé, tandis que l'indemnisation est réservée aux établissements de santé."", ""option_d1"": ""La sanction est une mesure disciplinaire, tandis que l'indemnisation est une mesure pénale."", ""correct_option1"": ""b"", ""question2"": ""Quel type de dommage peut être indemnisé en cas de défaut d'information?"", ""option_a2"": ""Une atteinte à l'intégrité physique uniquement."", ""option_b2"": ""Une perte de chance de survie ou de guérison."", ""option_c2"": ""Une perte de chance d'avoir échappé à un risque qui s'est finalement réalisé."", ""option_d2"": ""Une perte de chance de survie ou de guérison et une perte de chance d'avoir échappé à un risque qui s'est finalement réalisé."", ""correct_option2"": ""d""}"
"{""question1"": ""Quel type de responsabilité civile engagent les professionnels exerçant à titre libéral et les établissements de santé privés?"", ""option_a1"": ""Responsabilité civile devant les juridictions de l’ordre judiciaire"", ""option_b1"": ""Responsabilité civile devant les juridictions de l’ordre administratif"", ""option_c1"": ""Responsabilité civile devant les juridictions de l’ordre disciplinaire"", ""option_d1"": ""Responsabilité civile devant les juridictions de l’ordre pénal"", ""correct_option1"": ""a"", ""question2"": ""Quel est le régime de responsabilité des médecins salariés d’établissements, services ou organismes privés?"", ""option_a2"": ""Responsabilité civile personnelle"", ""option_b2"": ""Responsabilité civile collective"", ""option_c2"": ""Responsabilité civile du commettant"", ""option_d2"": ""Responsabilité civile du salarié"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la responsabilité engagée par un médecin hospitalier pour les actes qu'il réalise?"", ""option_a1"": ""La responsabilité civile personnelle du médecin"", ""option_b1"": ""La responsabilité pénale du médecin"", ""option_c1"": ""La responsabilité administrative de l'établissement public de santé"", ""option_d1"": ""La responsabilité disciplinaire du médecin"", ""correct_option1"": ""c"", ""question2"": ""Quelle est la typologie des fautes susceptibles d'engager la responsabilité du service public selon la jurisprudence administrative?"", ""option_a2"": ""La faute de service et la faute personnelle"", ""option_b2"": ""La faute de service et la faute dans l'organisation du service"", ""option_c2"": ""La faute dans l'organisation du service et la faute personnelle"", ""option_d2"": ""La faute de service et la faute dans le fonctionnement du service"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelles sont les tumeurs palpébrales bénignes les plus fréquentes?"", ""option_a1"": ""Carcinome basocellulaire"", ""option_b1"": ""Hidrocystome"", ""option_c1"": ""Mélanome malin"", ""option_d1"": ""Lymphome de MALT"", ""correct_option1"": ""b"", ""question2"": ""Quels sont les signes de malignité d’une tumeur palpébrale?"", ""option_a2"": ""Croissance lente et continue"", ""option_b2"": ""Hétérochromie"", ""option_c2"": ""Envahissement des tissus"", ""option_d2"": ""Perte de cils (Madarose)"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le traitement de première intention pour un chalazion?"", ""option_a1"": ""Incision et curage sous anesthésie locale"", ""option_b1"": ""Application d'une pommade corticoïde locale associée à des soins de paupières"", ""option_c1"": ""Suture de la glande de Meibomius"", ""option_d1"": ""Collyre antiseptique pendant 8 jours"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la complication la plus fréquente après une incision et un curage d'un chalazion?"", ""option_a2"": ""Infection"", ""option_b2"": ""Saignement"", ""option_c2"": ""Hémorragie"", ""option_d2"": ""Écoulement purulent"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est le traitement initial recommandé pour un orgelet?"", ""option_a1"": ""Incision chirurgicale immédiate"", ""option_b1"": ""Pommade antibiotique pendant 8 jours"", ""option_c1"": ""Collyre antibiotique pendant 8 jours"", ""option_d1"": ""Traitement par laser"", ""correct_option1"": ""b"", ""question2"": ""Dans quel cas l'incision au niveau du bord libre peut-elle être nécessaire?"", ""option_a2"": ""Cas résistant au traitement"", ""option_b2"": ""Formes enkystées"", ""option_c2"": ""Cas de forme superficielle"", ""option_d2"": ""Cas de forme inflammatoire"", ""correct_option2"": ""b""}"
"{""question1"": ""Quel est le nerf responsable de la paralysie des muscles oculomoteurs droit médial, droit inférieur, droit supérieur et oblique inférieur?"", ""option_a1"": ""Nerf oculomoteur (III)"", ""option_b1"": ""Nerf trijumeau (V)"", ""option_c1"": ""Nerf facial (VII)"", ""option_d1"": ""Nerf abducens (VI)"", ""correct_option1"": ""a"", ""question2"": ""Quel est le nerf responsable de la constriction pupillaire et de l'accommodation?"", ""option_a2"": ""Nerf oculomoteur (III)"", ""option_b2"": ""Nerf trijumeau (V)"", ""option_c2"": ""Nerf facial (VII)"", ""option_d2"": ""Nerf abducens (VI)"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelle est la principale caractéristique des voies lacrymales à la naissance?"", ""option_a1"": ""Elles sont perméables dès la naissance"", ""option_b1"": ""Elles se perforent spontanément dans les premiers jours de vie"", ""option_c1"": ""Elles sont toujours obstruées à la naissance"", ""option_d1"": ""Elles se perforent à la naissance avec les premières larmes"", ""correct_option1"": ""b"", ""question2"": ""Quel est le traitement recommandé pour un larmoiement persistant chez un nourrisson?"", ""option_a2"": ""Sondage sans anesthésie à partir de 4 mois"", ""option_b2"": ""Antibiotiques systémiques dès la naissance"", ""option_c2"": ""Sondage avec anesthésie à partir de 2 mois"", ""option_d2"": ""Antiseptiques locaux uniquement"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelle est la définition d'une rachialgie?"", ""option_a1"": ""Douleurs ressenties dans la région rachidienne"", ""option_b1"": ""Douleurs uniquement dans la région thoracique"", ""option_c1"": ""Douleurs uniquement dans la région lombaire"", ""option_d1"": ""Douleurs uniquement dans la région cervicale"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la classification des rachialgies selon leur durée?"", ""option_a2"": ""Aiguë : < 6 semaines"", ""option_b2"": ""Aiguë : > 6 semaines"", ""option_c2"": ""Aiguë : < 3 mois"", ""option_d2"": ""Aiguë : > 3 mois"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelle est la prévalence des cervicalgies chez la population générale?"", ""option_a1"": ""1/3"", ""option_b1"": ""2/3"", ""option_c1"": ""1/4"", ""option_d1"": ""1/2"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la prévalence des lombalgies communes chez la population générale?"", ""option_a2"": ""5 à 10 %"", ""option_b2"": ""1/4 à 1/3"", ""option_c2"": ""2 à 11 %"", ""option_d2"": ""60 à 90 %"", ""correct_option2"": ""d""}"
"{""question1"": ""Quels sont les facteurs de risque de chronicisation des lombalgies/cervicalgies communes?"", ""option_a1"": ""Facteurs psycho-sociaux"", ""option_b1"": ""Antécédents familiaux de rhumatismes inflammatoires"", ""option_c1"": ""Traumatisme récent"", ""option_d1"": ""Prise de poids récente"", ""correct_option1"": ""a"", ""question2"": ""Quel est le signe clinique qui peut indiquer une atteinte inflammatoire du rachis?"", ""option_a2"": ""Douloureux à la palpation des muscles paravertébraux"", ""option_b2"": ""Inégalité de longueur des membres inférieurs"", ""option_c2"": ""Arthralgies périphériques"", ""option_d2"": ""Douloureux à la mobilisation du rachis"", ""correct_option2"": ""c""}"
"{""question1"": ""Quels sont les éléments orientant vers une origine DISCALE d'une rachialgie commune?"", ""option_a1"": ""âge > 50 ans"", ""option_b1"": ""âge 25-50 ans"", ""option_c1"": ""lombalgie médiane ou unilatérale, de caractéristique mécanique, exacerbée au piétinement ou à la station debout/assise prolongée"", ""option_d1"": ""douleurs référées à distance, sans trajet précis : fesses, cuisses, épines iliaques"", ""correct_option1"": ""b"", ""question2"": ""Quels sont les éléments orientant vers une origine INTERAPOPHYSAIRE d'une rachialgie commune?"", ""option_a2"": ""âge 25-50 ans"", ""option_b2"": ""âge > 50 ans"", ""option_c2"": ""lombalgie médiane ou unilatérale, de caractéristique mécanique, exacerbée au piétinement ou à la station debout/assise prolongée"", ""option_d2"": ""douleurs référées à distance, sans trajet précis : fesses, cuisses, épines iliaques"", ""correct_option2"": ""b""}"
"{""question1"": ""Quels sont les facteurs de risque associés à la lombalgie commune?"", ""option_a1"": ""Traumatismes ou microtraumatismes répétés"", ""option_b1"": ""Sédentarité"", ""option_c1"": ""Obésité"", ""option_d1"": ""Tabagisme"", ""correct_option1"": ""a"", ""question2"": ""Quels sont les facteurs de risque associés à la cervicalgie commune?"", ""option_a2"": ""Traumatismes ou microtraumatismes répétés"", ""option_b2"": ""Sédentarité"", ""option_c2"": ""Obésité"", ""option_d2"": ""Tabagisme"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelle est la première étape diagnostique recommandée pour une lombalgie aiguë sans signes de gravité?"", ""option_a1"": ""Radiographies du rachis lombaire F + P"", ""option_b1"": ""IRM du rachis lombaire"", ""option_c1"": ""Clichés dynamiques du rachis lombaire"", ""option_d1"": ""Sonde naso-gastrique"", ""correct_option1"": ""b"", ""question2"": ""Quelle est la recommandation pour une cervicalgie aiguë avec signes de gravité?"", ""option_a2"": ""Radiographies du rachis cervical F + P"", ""option_b2"": ""IRM du rachis cervical"", ""option_c2"": ""Clichés dynamiques du rachis cervical"", ""option_d2"": ""Sonde naso-gastrique"", ""correct_option2"": ""b""}"
"{""question1"": ""Quels sont les signes d'alarme qui orientent vers une rachialgie secondaire et nécessitent des examens complémentaires?"", ""option_a1"": ""Douleur de type mécanique"", ""option_b1"": ""Symptôme neurologique étendu"", ""option_c1"": ""Perte de poids inexpliquée"", ""option_d1"": ""Âge d'apparition < 20 ans ou > 55 ans"", ""correct_option1"": ""b"", ""question2"": ""Quel examen est recommandé en urgence pour une rachialgie secondaire avec un symptôme neurologique étendu?"", ""option_a2"": ""Radiographies du rachis lombaire"", ""option_b2"": ""IRM rachidienne"", ""option_c2"": ""NFS"", ""option_d2"": ""CRP"", ""correct_option2"": ""b""}"
"{""question1"": ""Quels sont les facteurs émotionnels qui augmentent le risque de passage à la chronicité d'une rachialgie?"", ""option_a1"": ""Anxiété"", ""option_b1"": ""Fatigue"", ""option_c1"": ""Sommeil insuffisant"", ""option_d1"": ""Appétit"", ""correct_option1"": ""a"", ""question2"": ""Quels comportements peuvent être considérés comme inappropriés par rapport au mal de dos?"", ""option_a2"": ""Pratique d'exercices physiques réguliers"", ""option_b2"": ""Utilisation de techniques de relaxation"", ""option_c2"": ""Catastrophisme et évitement"", ""option_d2"": ""Participation à des activités sociales"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la principale étiologie d'une rachialgie secondaire tumorale?"", ""option_a1"": ""Métastases"", ""option_b1"": ""Cancer primitif"", ""option_c1"": ""Spondylodiscite"", ""option_d1"": ""Spondylarthrite ankylosante"", ""correct_option1"": ""a"", ""question2"": ""Quel symptôme est associé à une spondylodiscite infectieuse?"", ""option_a2"": ""Syndrome inflammatoire aigu ou chronique"", ""option_b2"": ""Déformation rachidienne"", ""option_c2"": ""Traumatisme rachidien"", ""option_d2"": ""Chute de la personne âgée"", ""correct_option2"": ""a""}"
"{""question1"": ""Quelles sont les étiologies principales d'une rachialgie secondaire selon le contenu éducatif?"", ""option_a1"": ""Chondrocalcinose et rhumatisme à apatite"", ""option_b1"": ""Tumeur intrarachidienne et douleurs référées d'origine ORL"", ""option_c1"": ""Polyarthrite rhumatoïde et tumeur intrarachidienne"", ""option_d1"": ""Chondrocalcinose et polyarthrite rhumatoïde"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la description correcte des douleurs référées d'origine ORL ou cervicale antérieure dans le contexte des rachialgies secondaires?"", ""option_a2"": ""Elles sont associées à une tumeur intrarachidienne"", ""option_b2"": ""Elles sont décrites comme des cervicalgies"", ""option_c2"": ""Elles sont liées à une chondrocalcinose"", ""option_d2"": ""Elles sont causées par une polyarthrite rhumatoïde"", ""correct_option2"": ""b""}"
"{""question1"": ""Quelles sont les étiologies de la rachialgie complexe?"", ""option_a1"": ""Seules les causes physiques globales"", ""option_b1"": ""Seules les causes sociales"", ""option_c1"": ""Seules les causes psychologiques"", ""option_d1"": ""Toutes les causes mentionnées ci-dessus"", ""correct_option1"": ""d"", ""question2"": ""Quelle est la principale conséquence de la rachialgie complexe?"", ""option_a2"": ""Amélioration de la mobilité rachidienne"", ""option_b2"": ""Réduction de la douleur lombaire"", ""option_c2"": ""Restrictions de participation professionnelle et sociale"", ""option_d2"": ""Diminution de la prise de poids"", ""correct_option2"": ""c""}"
"{""question1"": ""Quels sont les principaux conseils pour la prise en charge d'une rachialgie aiguë?"", ""option_a1"": ""Réduire l'activité physique"", ""option_b1"": ""Préconiser un repos au lit prolongé"", ""option_c1"": ""Encourager la poursuite des activités physiques adaptées"", ""option_d1"": ""Prescrire des corticoïdes systémiques"", ""correct_option1"": ""c"", ""question2"": ""Quelle est la recommandation pour la prise en charge d'une lombalgie chronique commune?"", ""option_a2"": ""Utiliser des myorelaxants systématiquement"", ""option_b2"": ""Préconiser un arrêt de travail prolongé"", ""option_c2"": ""Encourager une activité physique régulière"", ""option_d2"": ""Prescrire des AINS systématiquement"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le principal traitement recommandé pour une poussée aiguë de lombalgie?"", ""option_a1"": ""Repos au lit ordonné"", ""option_b1"": ""Arrêt de travail prolongé"", ""option_c1"": ""Kinésithérapie"", ""option_d1"": ""Rester physiquement actif"", ""correct_option1"": ""d"", ""question2"": ""Quel est le traitement recommandé pour une lombalgie chronique commune?"", ""option_a2"": ""AINS en l’absence de contre-indication"", ""option_b2"": ""Myorelaxants"", ""option_c2"": ""Kinésithérapie non indiquée pour un épisode aigu isolé"", ""option_d2"": ""Antalgiques de paliers 1 ou 2"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la cause vasculaire la plus fréquente des douleurs lombaires référées?"", ""option_a1"": ""Anévrisme de l'aorte abdominale"", ""option_b1"": ""Thrombose veineuse profonde"", ""option_c1"": ""Artériopathie périphérique"", ""option_d1"": ""Hypertension artérielle"", ""correct_option1"": ""a"", ""question2"": ""Quelle pathologie gynécologique peut causer des douleurs lombaires référées?"", ""option_a2"": ""Endométriose"", ""option_b2"": ""Ménopause"", ""option_c2"": ""Ovaires sains"", ""option_d2"": ""Cystite"", ""correct_option2"": ""a""}"
"{""question1"": ""Quels sont les signes cliniques principaux d'une sacralgie?"", ""option_a1"": ""Douleur localisée en regard du sacrum, pouvant irradier vers les fesses et la face postérieure de cuisses"", ""option_b1"": ""Douleur diffuse dans le bas du dos"", ""option_c1"": ""Douleur au niveau du cou"", ""option_d1"": ""Douleur au niveau des épaules"", ""correct_option1"": ""a"", ""question2"": ""Quel examen est recommandé en première intention pour évaluer une sacralgie suspectée d'être d'origine inflammatoire?"", ""option_a2"": ""Radiographies du bassin de face et cliché de de Sèze"", ""option_b2"": ""Scanner du bassin"", ""option_c2"": ""IRM du bassin"", ""option_d2"": ""Échographie du bassin"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le principal symptôme d'une coccygodynie?"", ""option_a1"": ""Douleur irradiée vers les jambes"", ""option_b1"": ""Douleur localisée à l'aire coccygienne"", ""option_c1"": ""Douleur au niveau du dos"", ""option_d1"": ""Douleur au niveau des hanches"", ""correct_option1"": ""b"", ""question2"": ""Quel facteur déclenchant est le plus souvent associé à une subluxation du coccyx?"", ""option_a2"": ""Traumatisme avec un délai de 3 mois"", ""option_b2"": ""Traumatisme avec un délai de 1 mois"", ""option_c2"": ""Traumatisme avec un délai de 1 semaine"", ""option_d2"": ""Traumatisme avec un délai de 1 an"", ""correct_option2"": ""c""}"
"{""question1"": ""Quelle est la prévalence des céphalées de tension dans la population mondiale?"", ""option_a1"": ""50-70%"", ""option_b1"": ""1-2%"", ""option_c1"": ""12%"", ""option_d1"": ""1 personne sur 1000"", ""correct_option1"": ""a"", ""question2"": ""Quelle est la prévalence de la migraine chronique en France?"", ""option_a2"": ""50-70%"", ""option_b2"": ""1-2%"", ""option_c2"": ""1,7%"", ""option_d2"": ""1 personne sur 1000"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le principal mécanisme physiopathologique de la migraine?"", ""option_a1"": ""Hyperexcitabilité neuronale uniquement"", ""option_b1"": ""Dysfonction vasculaire uniquement"", ""option_c1"": ""Hyperexcitabilité neuronale et dysfonction vasculaire"", ""option_d1"": ""Facteurs environnementaux uniquement"", ""correct_option1"": ""c"", ""question2"": ""Quelle est la variété de migraine la plus fréquente?"", ""option_a2"": ""Migraine avec aura"", ""option_b2"": ""Migraine avec aura et céphalée"", ""option_c2"": ""Migraine sans aura"", ""option_d2"": ""Migraine avec aura et prodromes"", ""correct_option2"": ""c""}"
"{""question1"": ""Quel est le premier pas dans la démarche diagnostique d'une céphalée primaire?"", ""option_a1"": ""Écarter une céphalée secondaire"", ""option_b1"": ""Préciser le type de céphalée primaire"", ""option_c1"": ""Laisser le patient s'exprimer"", ""option_d1"": ""Identifier les signes accompagnateurs"", ""correct_option1"": ""c"", ""question2"": ""Quel est le critère principal pour poser un diagnostic de céphalée primaire?"", ""option_a2"": ""La présence de drapeaux rouges"", ""option_b2"": ""La normalité de l'examen clinique"", ""option_c2"": ""La durée des crises sans traitement"", ""option_d2"": ""La fréquence des crises"", ""correct_option2"": ""b""}"
"{""question1"": ""Quels sont les critères diagnostiques de la migraine sans aura (MSA) selon l'ICHD-3?"", ""option_a1"": ""Au moins 5 crises répondant aux critères B-D"", ""option_b1"": ""Crises de céphalées durant 4-72 heures"", ""option_c1"": ""Céphalées ayant au moins deux des 4 caractéristiques suivantes : topographie unilatérale, type pulsatile, intensité modérée ou sévère, aggravée par ou entrainant l’évitement des activités physiques de routine"", ""option_d1"": ""Durée des crises de céphalées de 4 à 72 heures"", ""correct_option1"": ""c"", ""question2"": ""Quels sont les symptômes neurologiques transitoires caractéristiques de l'aura migraineuse?"", ""option_a2"": ""Troubles visuels, sensitifs ou du langage d’installation progressive (> 5 minutes) et successive"", ""option_b2"": ""Déficit moteur et/ou sensitif des membres"", ""option_c2"": ""Vertige, diplopie, ataxie, somnolence"", ""option_d2"": ""Troubles du langage : manque du mot, dysarthrie, parfois aphasie totale"", ""correct_option2"": ""a""}"
